taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
8695507	Menoparia elegans Dean, 1989	8695507	Menoparia elegans Dean, 1989	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Trilobita	9273948	Asaphida	9573072	Remopleurididae	3267141	Menoparia	4635855	Menoparia elegans	8695507	
10980475	Scarabaeoidea Latreille, 1802	10980475	Scarabaeoidea Latreille, 1802	1	GENUS	DOUBTFUL	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Lucanidae	3263244	Scarabaeoidea	10980475			
1	Animalia	1	Animalia	252	KINGDOM	ACCEPTED	Animalia	1													
1470	Coleoptera	1470	Coleoptera	5	ORDER	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470							
8570108	Praechlamys valoniensis (Defrance, 1825)	4595656	Pecten valoniensis (Defrance, 1825)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Bivalvia	137	Pectinida	9250425	Pectinidae	3472	Praechlamys	4595857	Pecten valoniensis	4595656	
8582049	Plecia nana (Handlirsch, 1910)	8582049	Plecia nana (Handlirsch, 1910)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Bibionidae	7281	Plecia	1590132	Plecia nana	8582049	
8627786	Cercopites torpescens Scudder, 1895	8627786	Cercopites torpescens Scudder, 1895	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Cercopida	11129507	Cercopites	4783458	Cercopites torpescens	8627786	
2318839	Hyolithellus Billings, 1871	2318839	Hyolithellus Billings, 1871	1	GENUS	DOUBTFUL	Animalia	1							Hyolithellidae	4578934	Hyolithellus	2318839			
4831659	Aphronorus Simpson, 1935	4831659	Aphronorus Simpson, 1935	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359			Pantolestidae	3239947	Aphronorus	4831659			
8478398	Plecia tulameenensis Rice, 1959	8478398	Plecia tulameenensis Rice, 1959	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Bibionidae	7281	Plecia	1590132	Plecia tulameenensis	8478398	
8520857	Buprestis sepulta Scudder, 1879	8520857	Buprestis sepulta Scudder, 1879	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Buprestidae	3789	Buprestis	1049529	Buprestis sepulta	8520857	
4634308	Solenopleurella Poulsen, 1927	4634308	Solenopleurella Poulsen, 1927	2	GENUS	DOUBTFUL	Animalia	1	Arthropoda	54	Trilobita	9273948	Agnostida	9538015	Solenopleuridae	3266944	Solenopleurella	4634308			
3267809	Stenopora Lonsdale, 1844	3267809	Stenopora Lonsdale, 1844	1	GENUS	ACCEPTED	Animalia	1	Bryozoa	53	Stenolaemata	226	Trepostomatida	826	Stenoporidae	3267807	Stenopora	3267809			
4641324	Hymenocaris Salter, 1853	4641324	Hymenocaris Salter, 1853	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229			Hymenocarididae	4641323	Hymenocaris	4641324			
8489288	Plecia kelownaensis Rice, 1959	8489288	Plecia kelownaensis Rice, 1959	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Bibionidae	7281	Plecia	1590132	Plecia kelownaensis	8489288	
2015470	Aphrophora Germar, 1821	2015470	Aphrophora Germar, 1821	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Aphrophoridae	3764	Aphrophora	2015470			
2286101	Plicatula Lamarck, 1801	2286101	Plicatula Lamarck, 1801	1	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Pectinida	9250425	Plicatulidae	6870	Plicatula	2286101			
4626004	Dactylioceras Hyatt, 1867	4626004	Dactylioceras Hyatt, 1867	3	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Cephalopoda	136	Ammonoidea	9559185	Dactylioceratidae	3245900	Dactylioceras	4626004			
4868057	Parallelora Carter, 1974	4868057	Parallelora Carter, 1974	1	GENUS	ACCEPTED	Animalia	1	Brachiopoda	110	Rhynchonellata	210			Spiriferidae	3252276	Parallelora	4868057			
4881109	Phacellophyllum Gürich, 1909	4881109	Phacellophyllum Gürich, 1909	5	GENUS	DOUBTFUL	Animalia	1	Cnidaria	43	Anthozoa	206			Lithostrotionidae	3250434	Phacellophyllum	4881109			
8475640	Oxytoma cygnipes (Young & Bird, 1822)	9559830	Palmoxytoma cygnipes (Young & Bird, 1822)	8	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Bivalvia	137	Pectinida	9250425	Oxytomidae	3248044	Palmoxytoma	4592662	Palmoxytoma cygnipes	9559830	
8577776	Sphenozamites Brongniart, 1849	8577776	Sphenozamites Brongniart, 1849	3	GENUS	DOUBTFUL	Plantae	6	Tracheophyta	7707728							Sphenozamites	8577776			
2984531	Zelkova Spach	2984531	Zelkova Spach	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Ulmaceae	2382	Zelkova	2984531			
7707728	Tracheophyta	7707728	Tracheophyta	487	PHYLUM	ACCEPTED	Plantae	6	Tracheophyta	7707728											
8449066	Erlansonisporites sparassis Potonié, 1956	8449066	Erlansonisporites sparassis Potonié, 1956	2	SPECIES	ACCEPTED	Plantae	6									Erlansonisporites	4905761	Erlansonisporites sparassis	8449066	
8559681	Scenella amii (Matthew, 1902)	9405105	Metoptoma amii (Matthew, 1902)	39	SPECIES	SYNONYM	Animalia	1	Mollusca	52					Scenellidae	4583974	Scenella	3246208	Metoptoma amii	9405105	
4857418	Fistulamina Crockford, 1947	4857418	Fistulamina Crockford, 1947	1	GENUS	ACCEPTED	Animalia	1	Bryozoa	53	Stenolaemata	226	Cystoporida	825	Hexagonellidae	9602	Fistulamina	4857418			
4873809	Eutaxocrinus Springer, 1906	4873809	Eutaxocrinus Springer, 1906	1	GENUS	ACCEPTED	Animalia	1	Echinodermata	50	Crinoidea	215			Taxocrinidae	4873806	Eutaxocrinus	4873809			
4881592	Tarphyphyllum McLean & Pedder, 1984	4881592	Tarphyphyllum McLean & Pedder, 1984	1	GENUS	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206			Arachnophyllidae	3250407	Tarphyphyllum	4881592			
4907936	Baiera C.F.W.Braun, 1843	4907936	Baiera C.F.W.Braun, 1843	2	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Ginkgoopsida	244	Ginkgoales	418	Karkeniaceae	8646909	Baiera	4907936			
7529783	Kloedcytherella oertlii Kozur, 1985	7529783	Kloedcytherella oertlii Kozur, 1985	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Ostracoda	353	Podocopida	1438			Kloedcytherella	7732376	Kloedcytherella oertlii	7529783	
